,x1,y1,z1,x2,y2,z2,x,y,z,l,x1_gp3,y1_gp3,x2_gp3,y2_gp3,x1_gp4,y1_gp4,x2_gp4,y2_gp4,frame,seen_gp3,seen_gp4,particle
0,-39.39903425373641,-21.541192639556304,18.830466020745,-35.769458805378804,-13.8243329473202,17.048080770897602,-37.584246529557596,-17.682762793438197,17.939273395821303,8.71209725748353,258.693127020457,710.0375037580409,297.91533640781506,633.458575665407,289.587760113305,626.9405777221859,315.96758033206004,613.758253934935,500,1,1,0
1,-39.3231744062838,11.955215044827401,13.8111370414925,-33.5447693521661,18.809618428503303,17.774503477052,-36.433971879225,15.382416736665403,15.792820259272201,9.80209590945322,266.954575676464,382.83426296246694,317.457734321589,314.503513398691,258.874736979899,590.451269515075,310.081645860568,632.7572257452741,500,1,1,1
2,-34.7170682227457,-16.310455087964797,-6.1381807956335,-39.379554045186886,-12.136205418441499,-12.9642236971959,-37.0483111339663,-14.223330253203098,-9.55120224641471,9.260561324344868,335.410471894274,643.1906004073311,301.203125919772,602.528002796503,330.71568220043605,402.11927916269406,285.233793754567,337.834699338043,500,1,1,2
3,-36.917049932438005,-28.190508390738806,-17.897402307561705,-30.423453852035802,-30.834657699683298,-11.425131572806,-33.6702518922369,-29.5125830452111,-14.661266940183804,9.54193922048244,330.4086476324141,739.2787229232699,380.896777752657,768.543572780199,320.337542043548,301.362137816674,378.99617754281405,359.85209059560503,500,1,1,3
4,-33.4146969874638,1.82217178224123,0.147554563339667,-26.4066719825291,-4.51246885966208,0.94335655984289,-29.9106844849964,-1.345148538710419,0.5454555615912791,9.48015755931735,340.3822064040511,480.490395738218,403.91779290446505,539.025786525217,327.810081022702,457.56625332036697,399.5557259031201,466.31991584140707,500,1,1,4
5,-27.4200077248752,-10.780940274981099,-17.453613919617197,-25.884460662690305,-6.695575889499671,-25.849311417056704,-26.6522341937827,-8.738258082240371,-21.651462668337,9.462338157710079,412.03558233196196,589.433734332368,431.59202865706004,552.023230650625,394.99113723985005,297.108146114971,407.99270678087197,216.75651380417403,500,1,1,5
6,-22.4987921935608,3.55742767633193,-20.7865761923625,-18.503956539869304,-3.6877131002718597,-21.3038954322634,-20.501374366715,-0.065142711969961,-21.045235812313003,8.28965596202783,460.896386020984,465.868202440914,490.17393201456,527.624193433832,431.475862088104,257.73707738604503,476.774605980466,257.8256239664511,500,1,1,6
7,-20.1226128856513,41.1013337438414,7.21814097368458,-17.423796418965498,36.809651898887395,15.076681761450399,-18.7732046523084,38.9554928213644,11.1474113675675,9.35194133280041,458.97337678608807,110.979175906125,476.91931175895803,141.985579089075,434.62025456619403,530.436635090765,466.656770337826,613.513469819225,500,1,1,7
8,-15.583947178716402,33.39584263166911,16.5550546077625,-7.01853622999435,29.314531220878504,15.3650230707946,-11.3012417043554,31.355186926273802,15.9600388392785,9.562402554343471,496.928078402575,173.642138888881,580.5108424977311,214.78728686198605,485.615195579824,628.075769527844,577.498426489628,614.834998724908,500,1,1,8
9,-20.0553457041392,43.9575075314641,-3.82588180196895,-10.7542946213412,43.918703960831394,-2.30150978916333,-15.4048201627402,43.9381057461478,-3.063695795566141,9.425219731939281,467.968845915037,99.00600806116019,551.577122006143,97.55186997993292,434.628165961008,410.947728436548,536.780795412143,428.476551317887,500,1,1,9
